date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:55	1239/1239	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22dc888fd2965136c220ed4ff15bb7f5c9%22	https://dexters.nicepage.io/robots.txt		(from )
20:42:55	19033/19033	---M-Z	200	added ('OK')	text/html	etag:W/%22708803d349a65e8c7de9b2c9f4268729%22	https://dexters.nicepage.io/	C:/My%20Web%20Sites/dexters%20page%20new/dexters.nicepage.io/index.html	(from )
20:42:58	560126/560126	---MCZ	200	added ('OK')	text/css	etag:W/%2296b5d121531354c883c9fb86dc4896a1%22	http://capp.nicepage.com/17396d76bafb5b353a90d5731cf607c1b2cbbbab/nicepage.css	C:/My%20Web%20Sites/dexters%20page%20new/capp.nicepage.com/17396d76bafb5b353a90d5731cf607c1b2cbbbab/nicepage.css	(from https://dexters.nicepage.io/)
20:42:58	8676/8676	---M-Z	200	added ('OK')	text/css	etag:W/%22c5d66af126b6f817aa692ceb384d46ea%22	https://dexters.nicepage.io/Home.css	C:/My%20Web%20Sites/dexters%20page%20new/dexters.nicepage.io/Home.css	(from https://dexters.nicepage.io/)
20:43:02	244212/244212	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%229e45a55f3abfbac31b4a164b72323330%22	http://capp.nicepage.com/17396d76bafb5b353a90d5731cf607c1b2cbbbab/nicepage.js	C:/My%20Web%20Sites/dexters%20page%20new/capp.nicepage.com/17396d76bafb5b353a90d5731cf607c1b2cbbbab/nicepage.js	(from https://dexters.nicepage.io/)
20:43:03	737046/737046	---M-Z	200	added ('OK')	text/css	etag:W/%222b850b6d72fffc3f216294191e8237a7%22	https://dexters.nicepage.io/nicepage-site.css	C:/My%20Web%20Sites/dexters%20page%20new/dexters.nicepage.io/nicepage-site.css	(from https://dexters.nicepage.io/)
20:43:06	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/My%20Web%20Sites/dexters%20page%20new/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://dexters.nicepage.io/)
20:43:06	33305/33305	---M--	200	added ('OK')	image/png	etag:%220871e9da7d3c1ebace08fa85c7704fc9%22	https://assets.nicepagecdn.com/5521c873/3042653/images/signal-2022-09-21-203758_002.png	C:/My%20Web%20Sites/dexters%20page%20new/assets.nicepagecdn.com/5521c873/3042653/images/signal-2022-09-21-203758_002.png	(from https://dexters.nicepage.io/)
20:43:06	179935/179935	---M--	200	added ('OK')	image/jpeg	etag:%229e946306c9a7f7a0b82b837dd5b06f8d%22	https://assets.nicepagecdn.com/5521c873/3042653/images/9840063842.JPG	C:/My%20Web%20Sites/dexters%20page%20new/assets.nicepagecdn.com/5521c873/3042653/images/9840063842.jpg	(from https://dexters.nicepage.io/)
20:43:06	624576/624576	---M--	200	added ('OK')	image/png	etag:%225a16541dbe17189bbe341b425fda5f3a%22	https://assets.nicepagecdn.com/5521c873/3042653/images/ice_screenshot_20221010-200028.png	C:/My%20Web%20Sites/dexters%20page%20new/assets.nicepagecdn.com/5521c873/3042653/images/ice_screenshot_20221010-200028.png	(from https://dexters.nicepage.io/)
20:43:08	3324/3324	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22dc888fd2965136c220ed4ff15bb7f5c9%22	https://dexters.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/dexters%20page%20new/dexters.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/17396d76bafb5b353a90d5731cf607c1b2cbbbab/nicepage.js)
20:43:08	3324/3324	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22dc888fd2965136c220ed4ff15bb7f5c9%22	https://dexters.nicepage.io/Content/BundledScripts/	C:/My%20Web%20Sites/dexters%20page%20new/dexters.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/17396d76bafb5b353a90d5731cf607c1b2cbbbab/nicepage.js)
20:43:08	753323/753323	---M--	200	added ('OK')	image/png	etag:%22df2847b83f65e5497485407878dc9a2a%22	https://assets.nicepagecdn.com/5521c873/3042653/images/ice_screenshot_20221009-172730.png	C:/My%20Web%20Sites/dexters%20page%20new/assets.nicepagecdn.com/5521c873/3042653/images/ice_screenshot_20221009-172730.png	(from https://dexters.nicepage.io/)
